#SampleID	Sample Accession	Sample Alias	Ecozone	Region	Site	Environmental Source	Phylogenetic Marker	Target Gene Subfragment	Collection Date	sampling_depth_m	elevation_m	mean_annual_temp_C	total_carbon	total_nitrogen	ph	cn_ratio	ph_category	cn_category	env_feature	env_material	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	cn_category_per_dataset
10156.25.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	134.1	NA	NA	NA	6.36	10.8800019348675	Slightly Acidic	Low	freshwater wetland	soil	8.8248999999999995	0.1721	8.997	147.5275872	ug N/g dry soil	0.82693	Low-Wetlands
10156.26.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	134.1	NA	NA	NA	6.22	10.9501486521095	Slightly Acidic	Low	freshwater wetland	soil	9.6428999999999991	0.19089999999999999	9.834	108.0309278	ug N/g dry soil	0.89807	Low-Wetlands
10156.27.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	125.2	NA	NA	NA	6.3	12.3672887440487	Slightly Acidic	Low	freshwater wetland	soil	9.3882999999999992	0.32719999999999999	9.715	17.70897987	ug N/g dry soil	0.78554	Low-Wetlands
10156.28.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	125.2	NA	NA	NA	6.63	12.2002888781897	Neutral	Low	freshwater wetland	soil	12.461	0.21299999999999999	12.67	97.344030259999997	ug N/g dry soil	1.0385	Low-Wetlands
10156.2B1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.13	24.7373803104955	Neutral	Intermediate	freshwater wetland	soil	4.0876000000000001	1.234	5.322	1.9961034479999999	ug N/g dry soil	0.21514	Intermediate-Wetlands
10156.2B2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.18	23.5763043582033	Neutral	Intermediate	freshwater wetland	soil	3.6377999999999999	1.3008999999999999	4.939	2.4764263500000001	ug N/g dry soil	0.20949	Intermediate-Wetlands
10156.2B3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.01	24.3048128342246	Neutral	Intermediate	freshwater wetland	soil	3.5781000000000001	0.96730000000000005	4.545	1.1799205639999999	ug N/g dry soil	0.187	Intermediate-Wetlands
10156.2B4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.13	43.3513891315743	Neutral	High	freshwater wetland	soil	1.6216999999999999	0.85980000000000001	2.481	0.96541052299999996	ug N/g dry soil	0.05723	High-Wetlands
10156.2C1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.7	33.9588377723971	Slightly Basic	High	freshwater wetland	soil	0.37409999999999999	1.3090999999999999	1.683	0.59478057399999995	ug N/g dry soil	0.04956	High-Wetlands
10156.2C2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.46	20.1041105726081	Neutral	Intermediate	freshwater wetland	soil	1.9706999999999999	1.3894	3.36	2.1181268320000002	ug N/g dry soil	0.16713	Intermediate-Wetlands
10156.2C3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.74	30.7126386296256	Slightly Basic	High	freshwater wetland	soil	1.0096000000000001	1.7879	2.797	1.4478115739999999	ug N/g dry soil	0.09107	High-Wetlands
10156.2C4.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.62	26.6063515509601	Slightly Basic	Intermediate	freshwater wetland	soil	0.50890000000000002	0.93179999999999996	1.441	0.592472055	ug N/g dry soil	0.05416	Intermediate-Wetlands
10156.2C5.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.74	28.2533221597031	Slightly Basic	Intermediate	freshwater wetland	soil	0.86480000000000001	1.4953000000000001	2.36	1.1716953240000001	ug N/g dry soil	0.08353	Intermediate-Wetlands
10156.2S1.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.15	22.2025964850305	Neutral	Intermediate	freshwater wetland	soil	1.3792	1.135	2.514	0.623288493	ug N/g dry soil	0.11323	Intermediate-Wetlands
10156.2S2.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.23	25.6128183666149	Neutral	Intermediate	freshwater wetland	soil	0.89280000000000004	1.2496	2.142	1.2362096419999999	ug N/g dry soil	0.08363	Intermediate-Wetlands
10156.2S3.fastq.gz	NA	NA	NA	NA	NA	Wetlands	NA	NA	NA	NA	146	NA	NA	NA	7.18	20.8233673987099	Neutral	Intermediate	freshwater wetland	soil	1.3727	1.5	2.873	1.1922630999999999	ug N/g dry soil	0.13797	Intermediate-Wetlands
