#SampleID	env_feature	env_material	elevation_m	total_organic_carb_percent	total_inorganic_carbon_percent	total_carbon_percent	soil_total_inorganic_nitrogen	soil_nitrogen_units	total_nitrogen_percent	ph	ph_category	cn_ratio	cn_category
10156.2B5.fastq.gz	freshwater wetland	soil	146	1.5464	1.5059	3.052	0.95141131000000001	ug N/g dry soil	0.05063	7.16	Neutral	60.2804661268023	Very High
10156.2C1.fastq.gz	freshwater wetland	soil	146	0.37409999999999999	1.3090999999999999	1.683	0.59478057399999995	ug N/g dry soil	0.04956	7.7	Slightly Basic	33.9588377723971	High
10156.2C2.fastq.gz	freshwater wetland	soil	146	1.9706999999999999	1.3894	3.36	2.1181268320000002	ug N/g dry soil	0.16713	7.46	Neutral	20.1041105726081	Intermediate
10156.2C3.fastq.gz	freshwater wetland	soil	146	1.0096000000000001	1.7879	2.797	1.4478115739999999	ug N/g dry soil	0.09107	7.74	Slightly Basic	30.7126386296256	High
10156.2C4.fastq.gz	freshwater wetland	soil	146	0.50890000000000002	0.93179999999999996	1.441	0.592472055	ug N/g dry soil	0.05416	7.62	Slightly Basic	26.6063515509601	Intermediate
10156.2C5.fastq.gz	freshwater wetland	soil	146	0.86480000000000001	1.4953000000000001	2.36	1.1716953240000001	ug N/g dry soil	0.08353	7.74	Slightly Basic	28.2533221597031	Intermediate
10156.2S1.fastq.gz	freshwater wetland	soil	146	1.3792	1.135	2.514	0.623288493	ug N/g dry soil	0.11323	7.15	Neutral	22.2025964850305	Intermediate
10156.2S2.fastq.gz	freshwater wetland	soil	146	0.89280000000000004	1.2496	2.142	1.2362096419999999	ug N/g dry soil	0.08363	7.23	Neutral	25.6128183666148	Intermediate
10156.2S3.fastq.gz	freshwater wetland	soil	146	1.3727	1.5	2.873	1.1922630999999999	ug N/g dry soil	0.13797	7.18	Neutral	20.8233673987099	Intermediate
10156.2S4.fastq.gz	freshwater wetland	soil	146	1.5405	1.6048	3.145	2.213076386	ug N/g dry soil	0.12363	7.32	Neutral	25.4388093504813	Intermediate
10156.2S5.fastq.gz	freshwater wetland	soil	146	0.64159999999999995	1.8489	2.491	0.84424683099999998	ug N/g dry soil	0.0518	7.34	Neutral	48.0888030888031	High
10156.2T1.fastq.gz	freshwater wetland	soil	146	2.169	1.2565	3.426	2.1371831480000001	ug N/g dry soil	0.16636	7.12	Neutral	20.5938927626833	Intermediate
10156.2T2.fastq.gz	freshwater wetland	soil	146	1.8459000000000001	1.3511	3.197	0.55841478300000003	ug N/g dry soil	0.15366	7.16	Neutral	20.8056748665886	Intermediate
10156.2T3.fastq.gz	freshwater wetland	soil	146	3.3450000000000002	0.8306	4.176	1.178489796	ug N/g dry soil	0.28629	7.2	Neutral	14.5866079849104	Low
10156.2T4.fastq.gz	freshwater wetland	soil	146	3.3039000000000001	0.92420000000000002	4.228	0.689143426	ug N/g dry soil	0.27418	7.1	Neutral	15.4205266613174	Low
10156.2T5.fastq.gz	freshwater wetland	soil	146	2.0152999999999999	1.5315000000000001	3.547	2.4238122350000002	ug N/g dry soil	0.13992	7.29	Neutral	25.3502001143511	Intermediate
10156.3.fastq.gz	freshwater wetland	soil	453.6	0.67	0.21460000000000001	0.8846	21.820179769999999	ug N/g dry soil	0.11636	7.39	Neutral	7.60226882090065	Very Low
10156.30.fastq.gz	freshwater wetland	soil	125.2	4.532	0.1487	4.681	49.296852780000002	ug N/g dry soil	0.46382	6.54	Neutral	10.0922771764909	Low
10156.31.fastq.gz	freshwater wetland	soil	453.9	0.14660000000000001	1.5586	1.705	2.0297466150000001	ug N/g dry soil	0.02779	8.22	Slightly Basic	61.3530046779417	Very High
10156.32.fastq.gz	freshwater wetland	soil	453.9	0.1193	2.5121000000000002	2.631	3.1813663189999999	ug N/g dry soil	0.02086	8.39	Slightly Basic	126.126558005753	Very High
10156.33.fastq.gz	freshwater wetland	soil	113	2.8815	0.45610000000000001	3.338	105.6645793	ug N/g dry soil	0.30729	6.85	Neutral	10.8627029841518	Low
10156.34.fastq.gz	freshwater wetland	soil	372.6	2.88	7.6200000000000004E-2	2.956	31.272593180000001	ug N/g dry soil	0.31653	6.87	Neutral	9.33876725744795	Very Low
10156.35.fastq.gz	freshwater wetland	soil	372.6	0.78239999999999998	4.3900000000000002E-2	0.8263	11.34994425	ug N/g dry soil	0.13291	6.9	Neutral	6.21698893988413	Very Low
10156.36.fastq.gz	freshwater wetland	soil	408.9	0.19900000000000001	4.19E-2	0.2408	0.570586174	ug N/g dry soil	0.04735	7.73	Slightly Basic	5.08553326293559	Very Low
10156.37.fastq.gz	freshwater wetland	soil	408.9	2.6495000000000002	0.1084	2.758	5.9784025720000002	ug N/g dry soil	0.26913	6.66	Neutral	10.2478356184743	Low
10156.38.fastq.gz	freshwater wetland	soil	408.9	7.9608999999999996	0.1923	8.153	13.945316269999999	ug N/g dry soil	0.55299	6.26	Slightly Acidic	14.7434854156495	Low
10156.39.fastq.gz	freshwater wetland	soil	408.9	4.1429999999999998	0.12659999999999999	4.27	50.560971420000001	ug N/g dry soil	0.4378	5.95	Slightly Acidic	9.75331201461855	Very Low
10156.3B1.fastq.gz	freshwater wetland	soil	113	1.6052999999999999	1.1181000000000001	2.723	2.105734483	ug N/g dry soil	0.08092	7.29	Neutral	33.6505190311419	High
10156.3B2.fastq.gz	freshwater wetland	soil	113	1.2566999999999999	1.4460999999999999	2.703	2.6863847230000002	ug N/g dry soil	0.07326	7.4	Neutral	36.8959868959869	High
10156.3B3.fastq.gz	freshwater wetland	soil	113	2.7795000000000001	0.18609999999999999	2.966	0.57487209900000003	ug N/g dry soil	0.12036	6.98	Neutral	24.6427384513127	Intermediate
10156.3B4.fastq.gz	freshwater wetland	soil	113	2.2471000000000001	0.74239999999999995	2.989	2.6137630430000001	ug N/g dry soil	0.10504	7.27	Neutral	28.455826351866	Intermediate
10156.3B5.fastq.gz	freshwater wetland	soil	113	2.4447000000000001	7.3700000000000002E-2	2.518	3.5065622159999998	ug N/g dry soil	0.1427	6.81	Neutral	17.645409950946	Low
10156.3C1.fastq.gz	freshwater wetland	soil	113	0.54179999999999995	1.3362000000000001	1.878	2.371289435	ug N/g dry soil	0.0705	7.46	Neutral	26.6382978723404	Intermediate
10156.3C2.fastq.gz	freshwater wetland	soil	113	1.1709000000000001	0.34350000000000003	1.514	1.083016961	ug N/g dry soil	0.09374	7.3	Neutral	16.151056112652	Low
10156.3C3.fastq.gz	freshwater wetland	soil	113	1.052	0.34189999999999998	1.394	2.8258872479999999	ug N/g dry soil	0.12571	7.36	Neutral	11.0890143982181	Low
10156.3C4.fastq.gz	freshwater wetland	soil	113	0.7198	0.29470000000000002	1.015	1.3945828790000001	ug N/g dry soil	0.11495	7.23	Neutral	8.82992605480644	Very Low
10156.3C5.fastq.gz	freshwater wetland	soil	113	0.65080000000000005	4.07E-2	0.6916	1.081482638	ug N/g dry soil	0.07374	7.12	Neutral	9.37889883374017	Very Low
10156.3S1.fastq.gz	freshwater wetland	soil	113	0.93759999999999999	1.4654	2.403	3.6492327470000001	ug N/g dry soil	0.10019	7.38	Neutral	23.9844295837908	Intermediate
10156.3S2.fastq.gz	freshwater wetland	soil	113	0.82769999999999999	0.96240000000000003	1.79	2.7897447999999998	ug N/g dry soil	0.08902	7.38	Neutral	20.1078409346214	Intermediate
10156.3S3.fastq.gz	freshwater wetland	soil	113	0.88060000000000005	0.71630000000000005	1.597	1.9561192199999999	ug N/g dry soil	0.09805	7.33	Neutral	16.2876083630801	Low
10156.3S4.fastq.gz	freshwater wetland	soil	113	0.59989999999999999	0.93989999999999996	1.54	2.3264548299999999	ug N/g dry soil	0.07711	7.73	Slightly Basic	19.9714693295292	Low
10156.3S5.fastq.gz	freshwater wetland	soil	113	0.56589999999999996	0.5232	1.089	1.5379541059999999	ug N/g dry soil	0.07396	7.35	Neutral	14.724175229854	Low
10156.3T1.fastq.gz	freshwater wetland	soil	113	0.6744	0.66120000000000001	1.336	2.882871331	ug N/g dry soil	0.07531	7.25	Neutral	17.7400079670694	Low
10156.3T2.fastq.gz	freshwater wetland	soil	113	0.78900000000000003	1.0837000000000001	1.873	4.5591752019999996	ug N/g dry soil	0.1049	7.32	Neutral	17.8551000953289	Low
10156.3T3.fastq.gz	freshwater wetland	soil	113	2.3007	7.1499999999999994E-2	2.372	0.65172095299999999	ug N/g dry soil	0.23341	6.38	Slightly Acidic	10.1623752195707	Low
10156.3T4.fastq.gz	freshwater wetland	soil	113	0.86140000000000005	0.86619999999999997	1.728	2.670958841	ug N/g dry soil	0.09798	7.28	Neutral	17.636252296387	Low
10156.3T5.fastq.gz	freshwater wetland	soil	113	1.3724000000000001	0.34339999999999998	1.716	2.4580852879999999	ug N/g dry soil	0.14514	7.24	Neutral	11.8230673832162	Low
